EPA Region,State,County,Risk,Governance,Built Environment,Natural Environment,Society,CRSI
4,North Carolina,Alamance,0.376,0.562,0.435,0.336,0.471,1.258
4,North Carolina,Alexander,0.2,0.517,0.335,0.345,0.466,0.856
4,North Carolina,Alleghany,0.123,0.375,0.341,0.362,0.384,-0.577
4,North Carolina,Anson,0.109,0.485,0.356,0.381,0.385,1.165
4,North Carolina,Ashe,0.12,0.257,0.378,0.354,0.48,0.654
4,North Carolina,Avery,0.174,0.259,0.393,0.434,0.481,1.81
4,North Carolina,Beaufort,0.381,0.597,0.459,0.519,0.513,2.897
4,North Carolina,Bertie,0.156,0.624,0.382,0.508,0.545,6.159
4,North Carolina,Bladen,0.132,0.471,0.482,0.481,0.367,4.991
4,North Carolina,Brunswick,0.356,0.541,0.589,0.491,0.418,3.199
4,North Carolina,Buncombe,0.506,0.251,0.502,0.332,0.551,0.964
4,North Carolina,Burke,0.286,0.253,0.444,0.441,0.383,0.953
4,North Carolina,Cabarrus,0.649,0.655,0.363,0.322,0.508,0.633
4,North Carolina,Caldwell,0.284,0.384,0.355,0.405,0.466,0.841
4,North Carolina,Camden,0.226,0.63,0.335,0.556,0.437,3.31
4,North Carolina,Carteret,0.307,0.625,0.44,0.697,0.481,4.747
4,North Carolina,Caswell,0.127,0.57,0.38,0.394,0.347,1.84
4,North Carolina,Catawba,0.506,0.458,0.519,0.37,0.509,1.484
4,North Carolina,Chatham,0.226,0.526,0.535,0.396,0.498,4.002
4,North Carolina,Cherokee,0.227,0.228,0.367,0.456,0.54,1.702
4,North Carolina,Chowan,0.143,0.594,0.287,0.582,0.463,4.907
4,North Carolina,Clay,0.169,0.212,0.325,0.522,0.556,2.681
4,North Carolina,Cleveland,0.291,0.432,0.429,0.369,0.491,1.542
4,North Carolina,Columbus,0.124,0.447,0.546,0.488,0.529,9.187
4,North Carolina,Craven,0.383,0.577,0.512,0.616,0.436,3.427
4,North Carolina,Cumberland,0.585,0.523,0.471,0.389,0.443,1.037
4,North Carolina,Currituck,0.201,0.637,0.397,0.614,0.421,5.123
4,North Carolina,Dare,0.389,0.546,0.444,0.742,0.553,4.219
4,North Carolina,Davidson,0.317,0.599,0.457,0.366,0.466,1.989
4,North Carolina,Davie,0.191,0.609,0.387,0.353,0.536,2.935
4,North Carolina,Duplin,0.105,0.55,0.52,0.383,0.339,5.17
4,North Carolina,Durham,0.585,0.54,0.394,0.328,0.451,0.483
4,North Carolina,Edgecombe,0.15,0.539,0.375,0.438,0.425,2.98
4,North Carolina,Forsyth,0.553,0.566,0.396,0.25,0.456,0.236
4,North Carolina,Franklin,0.21,0.549,0.493,0.448,0.443,3.983
4,North Carolina,Gaston,0.686,0.55,0.534,0.316,0.455,0.937
4,North Carolina,Gates,0.129,0.631,0.318,0.532,0.486,5.737
4,North Carolina,Graham,0.179,0.238,0.328,0.513,0.426,1.176
4,North Carolina,Granville,0.217,0.553,0.416,0.421,0.443,2.599
4,North Carolina,Greene,0.222,0.538,0.332,0.435,0.402,1.277
4,North Carolina,Guilford,0.57,0.572,0.514,0.36,0.47,1.32
4,North Carolina,Halifax,0.129,0.562,0.483,0.439,0.396,5.473
4,North Carolina,Harnett,0.254,0.551,0.443,0.418,0.418,2.292
4,North Carolina,Haywood,0.202,0.234,0.44,0.446,0.559,2.978
4,North Carolina,Henderson,0.474,0.25,0.403,0.301,0.52,0.179
4,North Carolina,Hertford,0.153,0.672,0.361,0.426,0.443,3.606
4,North Carolina,Hoke,0.201,0.528,0.37,0.44,0.389,1.774
4,North Carolina,Hyde,0.441,0.497,0.305,0.662,0.587,2.472
4,North Carolina,Iredell,0.582,0.609,0.471,0.325,0.5,1.109
4,North Carolina,Jackson,0.238,0.288,0.457,0.414,0.52,2.304
4,North Carolina,Johnston,0.406,0.536,0.573,0.412,0.491,2.562
4,North Carolina,Jones,0.191,0.606,0.341,0.605,0.365,3.757
4,North Carolina,Lee,0.432,0.501,0.365,0.349,0.476,0.617
4,North Carolina,Lenoir,0.184,0.53,0.363,0.427,0.465,2.497
4,North Carolina,Lincoln,0.463,0.481,0.374,0.406,0.47,0.863
4,North Carolina,Macon,0.309,0.231,0.407,0.472,0.591,2.07
4,North Carolina,Madison,0.189,0.325,0.405,0.33,0.523,1.285
4,North Carolina,Martin,0.154,0.568,0.434,0.504,0.478,5.856
4,North Carolina,McDowell,0.262,0.28,0.358,0.445,0.36,0.14
4,North Carolina,Mecklenburg,0.693,0.594,0.661,0.231,0.449,1.162
4,North Carolina,Mitchell,0.148,0.226,0.306,0.378,0.522,-0.034
4,North Carolina,Montgomery,0.134,0.522,0.42,0.379,0.355,2.021
4,North Carolina,Moore,0.199,0.503,0.501,0.318,0.483,2.856
4,North Carolina,Nash,0.222,0.551,0.501,0.433,0.474,3.977
4,North Carolina,New Hanover,0.588,0.553,0.389,0.537,0.531,1.619
4,North Carolina,Northampton,0.117,0.597,0.488,0.43,0.389,6.156
4,North Carolina,Onslow,0.39,0.632,0.459,0.555,0.364,2.395
4,North Carolina,Orange,0.184,0.56,0.365,0.442,0.442,2.646
4,North Carolina,Pamlico,0.29,0.684,0.308,0.631,0.502,3.587
4,North Carolina,Pasquotank,0.289,0.636,0.309,0.529,0.448,2.216
4,North Carolina,Pender,0.126,0.567,0.471,0.499,0.494,8.065
4,North Carolina,Perquimans,0.156,0.625,0.315,0.586,0.388,4.27
4,North Carolina,Person,0.132,0.561,0.36,0.385,0.514,3.601
4,North Carolina,Pitt,0.362,0.549,0.514,0.433,0.496,2.644
4,North Carolina,Polk,0.191,0.458,0.37,0.284,0.556,1.232
4,North Carolina,Randolph,0.187,0.564,0.539,0.391,0.435,4.376
4,North Carolina,Richmond,0.195,0.484,0.419,0.366,0.354,0.995
4,North Carolina,Robeson,0.176,0.497,0.561,0.445,0.429,5.291
4,North Carolina,Rockingham,0.224,0.515,0.448,0.383,0.438,2.268
4,North Carolina,Rowan,0.326,0.616,0.436,0.351,0.457,1.655
4,North Carolina,Rutherford,0.195,0.314,0.493,0.376,0.453,2.253
4,North Carolina,Sampson,0.126,0.555,0.489,0.401,0.417,5.259
4,North Carolina,Scotland,0.172,0.529,0.398,0.405,0.386,1.992
4,North Carolina,Stanly,0.204,0.596,0.38,0.329,0.545,2.394
4,North Carolina,Stokes,0.148,0.473,0.415,0.296,0.485,1.761
4,North Carolina,Surry,0.217,0.531,0.399,0.335,0.447,1.37
4,North Carolina,Swain,0.195,0.209,0.417,0.542,0.544,3.698
4,North Carolina,Transylvania,0.221,0.279,0.397,0.431,0.609,2.67
4,North Carolina,Tyrrell,0.565,0.574,0.247,0.701,0.417,1.374
4,North Carolina,Union,0.445,0.636,0.484,0.347,0.518,1.787
4,North Carolina,Vance,0.141,0.513,0.336,0.411,0.49,2.707
4,North Carolina,Wake,0.714,0.54,0.736,0.326,0.509,1.827
4,North Carolina,Warren,0.136,0.572,0.407,0.432,0.347,2.952
4,North Carolina,Washington,0.288,0.544,0.268,0.604,0.399,1.83
4,North Carolina,Watauga,0.165,0.256,0.385,0.353,0.45,0.199
4,North Carolina,Wayne,0.206,0.53,0.473,0.385,0.432,2.847
4,North Carolina,Wilkes,0.15,0.483,0.379,0.341,0.401,0.803
4,North Carolina,Wilson,0.308,0.54,0.38,0.451,0.484,1.978
4,North Carolina,Yadkin,0.112,0.605,0.404,0.37,0.469,4.592
4,North Carolina,Yancey,0.159,0.225,0.281,0.38,0.499,-0.685
